date,day,brooklyn,manhattan,williamsburg,queensboro,total,precipitation,high_temp_C,low_temp_C,is_rainy,is_weekend,week_index
4/1,Saturday,606,1446,1915,1430,5397,0,7.77777777777778,2.77777777777778,FALSE,TRUE,0
4/2,Sunday,2021,3943,4207,2862,13033,0,16.7222222222222,5,FALSE,TRUE,0
4/3,Monday,2470,4988,5178,3689,16325,0.762,17.2222222222222,10,FALSE,FALSE,0
4/4,Tuesday,723,1913,2279,1666,6581,29.972,10.6111111111111,7.77777777777778,TRUE,FALSE,0
4/5,Wednesday,2807,5276,5711,4197,17991,0,17.2222222222222,7.77777777777778,FALSE,FALSE,0
4/6,Thursday,461,1324,1739,1372,4896,18.542,9.38888888888889,5,TRUE,FALSE,0
4/7,Friday,1222,2955,3399,2765,10341,0.254,8.88888888888889,6.11111111111111,FALSE,FALSE,0
4/8,Saturday,1674,3163,4082,2691,11610,0,13.2777777777778,4.38888888888889,FALSE,TRUE,1
4/9,Sunday,2375,4377,4886,3261,14899,0,18.8888888888889,7.22222222222222,FALSE,TRUE,1
4/10,Monday,3324,6359,6881,4731,21295,0,23.2777777777778,12.7777777777778,FALSE,FALSE,1
4/11,Tuesday,3887,7247,8079,5501,24714,0,26.7222222222222,16.7222222222222,FALSE,FALSE,1
4/12,Wednesday,2565,5633,6620,4537,19355,0.508,23.2777777777778,14.3888888888889,FALSE,FALSE,1
4/13,Thursday,3353,6052,6775,4700,20880,0,17.7777777777778,9.38888888888889,FALSE,FALSE,1
4/14,Friday,2942,5054,5877,4142,18015,0,18.2777777777778,9.38888888888889,FALSE,FALSE,1
4/15,Saturday,2253,3853,4965,3291,14362,0,18.2777777777778,11.1111111111111,FALSE,TRUE,2
4/16,Sunday,2877,4585,5259,3687,16408,0.254,29.3888888888889,16.7222222222222,FALSE,TRUE,2
4/17,Monday,3152,6352,6924,4658,21086,0.254,23.2777777777778,17.7777777777778,FALSE,FALSE,2
4/18,Tuesday,3415,6691,7341,5012,22459,0,18.8888888888889,10,FALSE,FALSE,2
4/19,Wednesday,1965,4632,5234,3996,15827,0.254,11.1111111111111,7.22222222222222,FALSE,FALSE,2
4/20,Thursday,1567,3365,4302,3056,12290,4.318,18.2777777777778,10,TRUE,FALSE,2
4/21,Friday,1426,3142,3674,2672,10914,7.366,11.7222222222222,8.88888888888889,TRUE,FALSE,2
4/22,Saturday,1318,2297,2963,2366,8944,2.794,13.2777777777778,11.1111111111111,TRUE,TRUE,3
4/23,Sunday,2520,4681,5105,3434,15740,0,18.2777777777778,8.27777777777778,FALSE,TRUE,3
4/24,Monday,2544,5366,5762,4183,17855,0.254,15.6111111111111,10,FALSE,FALSE,3
4/25,Tuesday,611,1402,1902,1578,5493,23.114,12.2222222222222,10,TRUE,FALSE,3
4/26,Wednesday,1247,2774,3429,2369,9819,8.636,15,12.2222222222222,TRUE,FALSE,3
4/27,Thursday,2959,5311,6026,4285,18581,0,20,15,FALSE,FALSE,3
4/28,Friday,3679,6774,7196,5138,22787,0,28.2777777777778,14.3888888888889,FALSE,FALSE,3
4/29,Saturday,3315,5605,6045,4078,19043,1.524,28.8888888888889,17.7777777777778,TRUE,TRUE,4
4/30,Sunday,2225,4057,4513,3137,13932,0,17.7777777777778,12.2222222222222,FALSE,TRUE,4
5/1,Monday,3084,6506,6793,4820,21203,0,22.2222222222222,10,FALSE,FALSE,4
5/2,Tuesday,3423,7035,7789,5449,23696,0,23.2777777777778,19.3888888888889,FALSE,FALSE,4
5/3,Wednesday,3342,6984,7445,4804,22575,0,18.2777777777778,14.3888888888889,FALSE,FALSE,4
5/4,Thursday,3019,6525,6922,5144,21610,0,17.2222222222222,10,FALSE,FALSE,4
5/5,Friday,513,1471,1951,1421,5356,76.708,15,11.1111111111111,TRUE,FALSE,4
5/6,Saturday,1892,3815,5502,3965,15174,4.572,18.2777777777778,13.8888888888889,TRUE,TRUE,5
5/7,Sunday,3539,3547,4941,3851,15878,0.254,12.2222222222222,9.38888888888889,FALSE,TRUE,5
5/8,Monday,2886,5812,6249,4432,19379,0,13.8888888888889,7.22222222222222,FALSE,FALSE,5
5/9,Tuesday,2718,6455,6910,5000,21083,0,16.1111111111111,8.88888888888889,FALSE,FALSE,5
5/10,Wednesday,2810,6396,7075,4980,21261,0,21.1111111111111,10.6111111111111,FALSE,FALSE,5
5/11,Thursday,2657,6179,6750,5139,20725,0,16.1111111111111,11,FALSE,FALSE,5
5/12,Friday,2640,5367,6325,4692,19024,0,16.7222222222222,10.6111111111111,FALSE,FALSE,5
5/13,Saturday,151,484,874,865,2374,33.274,10.6111111111111,7.22222222222222,TRUE,TRUE,6
5/14,Sunday,1452,2704,3320,2389,9865,0.508,18.2777777777778,7.77777777777778,FALSE,TRUE,6
5/15,Monday,2685,5865,5981,4550,19081,0,19.3888888888889,13.2777777777778,FALSE,FALSE,6
