theta,p,model
0,0,brooklyn prior
0.1,2.03215410215016e-07,brooklyn prior
0.2,3.53791104142323e-07,brooklyn prior
0.3,4.89313563716172e-07,brooklyn prior
0.4,6.15894517038339e-07,brooklyn prior
0.5,7.36212248419244e-07,brooklyn prior
0.6,8.51759964691776e-07,brooklyn prior
0.7,9.63483477625204e-07,brooklyn prior
0.8,1.07203218657649e-06,brooklyn prior
0.9,1.17787764297726e-06,brooklyn prior
1,1.28137668144355e-06,brooklyn prior
1.1,1.38280803428722e-06,brooklyn prior
1.2,1.4823949807746e-06,brooklyn prior
1.3,1.58032008322636e-06,brooklyn prior
1.4,1.67673517290011e-06,brooklyn prior
1.5,1.77176834774389e-06,brooklyn prior
1.6,1.86552901616488e-06,brooklyn prior
1.7,1.95811162061848e-06,brooklyn prior
1.8,2.04959844397135e-06,brooklyn prior
1.9,2.14006176301113e-06,brooklyn prior
2,2.22956552735486e-06,brooklyn prior
2.1,2.31816668685236e-06,brooklyn prior
2.2,2.40591625430875e-06,brooklyn prior
2.3,2.49286016593115e-06,brooklyn prior
2.4,2.57903998511698e-06,brooklyn prior
2.5,2.66449348344167e-06,brooklyn prior
2.6,2.74925512432444e-06,brooklyn prior
2.7,2.83335646878839e-06,brooklyn prior
2.8,2.91682651828181e-06,brooklyn prior
2.9,2.99969200622082e-06,brooklyn prior
3,3.08197764742588e-06,brooklyn prior
3.1,3.16370635273291e-06,brooklyn prior
3.2,3.24489941460696e-06,brooklyn prior
3.3,3.32557666845932e-06,brooklyn prior
3.4,3.40575663348768e-06,brooklyn prior
3.5,3.48545663616408e-06,brooklyn prior
3.6,3.56469291894252e-06,brooklyn prior
3.7,3.64348073631666e-06,brooklyn prior
3.8,3.7218344400012e-06,brooklyn prior
3.9,3.79976755472221e-06,brooklyn prior
4,3.87729284586568e-06,brooklyn prior
4.1,3.95442238004047e-06,brooklyn prior
4.2,4.03116757945237e-06,brooklyn prior
4.3,4.107539270854e-06,brooklyn prior
4.4,4.18354772972494e-06,brooklyn prior
4.5,4.25920272024479e-06,brooklyn prior
4.6,4.33451353154415e-06,brooklyn prior
4.7,4.40948901065358e-06,brooklyn prior
4.8,4.48413759251502e-06,brooklyn prior
4.9,4.55846732737322e-06,brooklyn prior
5,4.63248590582486e-06,brooklyn prior
5.1,4.70620068176828e-06,brooklyn prior
5.2,4.77961869346751e-06,brooklyn prior
5.3,4.85274668291895e-06,brooklyn prior
5.4,4.9255911136866e-06,brooklyn prior
5.5,4.99815818735338e-06,brooklyn prior
5.6,5.07045385871891e-06,brooklyn prior
5.7,5.14248384985995e-06,brooklyn prior
5.8,5.21425366315716e-06,brooklyn prior
5.9,5.28576859338059e-06,brooklyn prior
6,5.35703373891678e-06,brooklyn prior
6.1,5.4280540122116e-06,brooklyn prior
6.2,5.49883414949575e-06,brooklyn prior
6.3,5.56937871985279e-06,brooklyn prior
6.4,5.639692133684e-06,brooklyn prior
6.5,5.70977865061889e-06,brooklyn prior
6.6,5.77964238691576e-06,brooklyn prior
6.7,5.84928732239219e-06,brooklyn prior
6.8,5.9187173069222e-06,brooklyn prior
6.9,5.98793606653282e-06,brooklyn prior
7,6.05694720913044e-06,brooklyn prior
7.1,6.12575422988431e-06,brooklyn prior
7.2,6.19436051629229e-06,brooklyn prior
7.3,6.26276935295163e-06,brooklyn prior
7.4,6.33098392605598e-06,brooklyn prior
7.5,6.39900732763765e-06,brooklyn prior
7.6,6.46684255957279e-06,brooklyn prior
7.7,6.53449253736577e-06,brooklyn prior
7.8,6.60196009372753e-06,brooklyn prior
7.9,6.66924798196165e-06,brooklyn prior
8,6.73635887917088e-06,brooklyn prior
8.1,6.80329538929556e-06,brooklyn prior
8.2,6.87006004599495e-06,brooklyn prior
8.3,6.93665531538119e-06,brooklyn prior
8.4,7.00308359861529e-06,brooklyn prior
8.5,7.06934723437359e-06,brooklyn prior
8.6,7.13544850119253e-06,brooklyn prior
8.7,7.20138961969931e-06,brooklyn prior
8.8,7.26717275473492e-06,brooklyn prior
8.9,7.33280001737619e-06,brooklyn prior
9,7.39827346686259e-06,brooklyn prior
9.1,7.46359511243326e-06,brooklyn prior
9.2,7.52876691507949e-06,brooklyn prior
9.3,7.59379078921738e-06,brooklyn prior
9.4,7.65866860428508e-06,brooklyn prior
9.5,7.72340218626883e-06,brooklyn prior
9.6,7.78799331916172e-06,brooklyn prior
9.7,7.85244374635871e-06,brooklyn prior
9.8,7.91675517199144e-06,brooklyn prior
9.9,7.9809292622059e-06,brooklyn prior
10,8.04496764638606e-06,brooklyn prior
10.1,8.10887191832624e-06,brooklyn prior
10.2,8.17264363735472e-06,brooklyn prior
10.3,8.23628432941136e-06,brooklyn prior
10.4,8.29979548808121e-06,brooklyn prior
10.5,8.36317857558661e-06,brooklyn prior
10.6,8.4264350237396e-06,brooklyn prior
10.7,8.48956623485669e-06,brooklyn prior
10.8,8.55257358263786e-06,brooklyn prior
10.9,8.61545841301141e-06,brooklyn prior
11,8.67822204494631e-06,brooklyn prior
11.1,8.74086577123367e-06,brooklyn prior
11.2,8.80339085923864e-06,brooklyn prior
11.3,8.86579855162421e-06,brooklyn prior
11.4,8.92809006704819e-06,brooklyn prior
11.5,8.9902666008345e-06,brooklyn prior
11.6,9.05232932562011e-06,brooklyn prior
11.7,9.11427939197848e-06,brooklyn prior
11.8,9.1761179290208e-06,brooklyn prior
11.9,9.23784604497578e-06,brooklyn prior
12,9.29946482774906e-06,brooklyn prior
12.1,9.36097534546313e-06,brooklyn prior
12.2,9.42237864697849e-06,brooklyn prior
12.3,9.4836757623969e-06,brooklyn prior
12.4,9.54486770354758e-06,brooklyn prior
12.5,9.6059554644569e-06,brooklyn prior
12.6,9.66694002180231e-06,brooklyn prior
12.7,9.72782233535128e-06,brooklyn prior
12.8,9.78860334838562e-06,brooklyn prior
12.9,9.84928398811206e-06,brooklyn prior
13,9.90986516605933e-06,brooklyn prior
13.1,9.9703477784626e-06,brooklyn prior
13.2,1.00307327066355e-05,brooklyn prior
13.3,1.00910208173305e-05,brooklyn prior
13.4,1.01512129630875e-05,brooklyn prior
13.5,1.02113099825724e-05,brooklyn prior
13.6,1.0271312700904e-05,brooklyn prior
13.7,1.03312219299719e-05,brooklyn prior
13.8,1.03910384687439e-05,brooklyn prior
13.9,1.04507631035646e-05,brooklyn prior
14,1.05103966084447e-05,brooklyn prior
14.1,1.05699397453417e-05,brooklyn prior
14.2,1.06293932644322e-05,brooklyn prior
14.3,1.06887579043765e-05,brooklyn prior
14.4,1.0748034392575e-05,brooklyn prior
14.5,1.08072234454173e-05,brooklyn prior
14.6,1.08663257685244e-05,brooklyn prior
14.7,1.09253420569835e-05,brooklyn prior
14.8,1.09842729955761e-05,brooklyn prior
14.9,1.10431192590004e-05,brooklyn prior
15,1.11018815120863e-05,brooklyn prior
15.1,1.11605604100054e-05,brooklyn prior
15.2,1.12191565984747e-05,brooklyn prior
15.3,1.12776707139545e-05,brooklyn prior
15.4,1.13361033838412e-05,brooklyn prior
15.5,1.13944552266553e-05,brooklyn prior
15.6,1.14527268522229e-05,brooklyn prior
15.7,1.15109188618541e-05,brooklyn prior
15.8,1.15690318485151e-05,brooklyn prior
15.9,1.1627066396997e-05,brooklyn prior
16,1.16850230840791e-05,brooklyn prior
16.1,1.17429024786885e-05,brooklyn prior
16.2,1.18007051420557e-05,brooklyn prior
16.3,1.18584316278654e-05,brooklyn prior
16.4,1.19160824824045e-05,brooklyn prior
16.5,1.19736582447054e-05,brooklyn prior
